scenario,base,type,sampleSize,weightType,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
1,absent,constant,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
2,absent,constant,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
3,absent,constant,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
4,absent,constant,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
5,absent,constant,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
6,absent,constant,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
7,absent,constant,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
8,absent,constant,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
9,absent,constant,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
10,absent,constant,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
11,absent,constant,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
12,absent,constant,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
13,absent,constant,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
14,absent,constant,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
15,absent,constant,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
16,absent,constant,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0
17,absent,constant,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,-0.02
18,absent,constant,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0,1,0,0,0,0.01
19,absent,linear-high,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
20,absent,linear-high,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
21,absent,linear-high,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
22,absent,linear-high,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
23,absent,linear-high,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
24,absent,linear-high,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
25,absent,linear-high,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
26,absent,linear-high,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
27,absent,linear-high,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
28,absent,linear-high,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
29,absent,linear-high,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
30,absent,linear-high,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
31,absent,linear-high,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
32,absent,linear-high,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
33,absent,linear-high,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
34,absent,linear-high,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0
35,absent,linear-high,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,-0.02
36,absent,linear-high,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.25,0.7956044,0,0,0,0.01
37,absent,quadratic-high,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
38,absent,quadratic-high,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
39,absent,quadratic-high,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
40,absent,quadratic-high,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
41,absent,quadratic-high,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
42,absent,quadratic-high,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
43,absent,quadratic-high,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
44,absent,quadratic-high,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
45,absent,quadratic-high,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
46,absent,quadratic-high,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
47,absent,quadratic-high,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
48,absent,quadratic-high,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
49,absent,quadratic-high,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
50,absent,quadratic-high,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
51,absent,quadratic-high,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
52,absent,quadratic-high,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0
53,absent,quadratic-high,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,-0.02
54,absent,quadratic-high,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.22,1,-0.05168458,-5,0,0.01
55,absent,non-monotonic,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
56,absent,non-monotonic,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
57,absent,non-monotonic,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
58,absent,non-monotonic,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
59,absent,non-monotonic,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
60,absent,non-monotonic,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
61,absent,non-monotonic,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
62,absent,non-monotonic,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
63,absent,non-monotonic,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
64,absent,non-monotonic,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
65,absent,non-monotonic,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
66,absent,non-monotonic,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
67,absent,non-monotonic,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
68,absent,non-monotonic,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
69,absent,non-monotonic,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
70,absent,non-monotonic,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0
71,absent,non-monotonic,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,-0.02
72,absent,non-monotonic,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,2.49,4.21,0.54,0,0,0.01
73,moderate,constant,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
74,moderate,constant,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
75,moderate,constant,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
76,moderate,constant,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
77,moderate,constant,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
78,moderate,constant,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
79,moderate,constant,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
80,moderate,constant,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
81,moderate,constant,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
82,moderate,constant,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
83,moderate,constant,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
84,moderate,constant,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
85,moderate,constant,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
86,moderate,constant,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
87,moderate,constant,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
88,moderate,constant,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.025
89,moderate,constant,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.018750000000000003
90,moderate,constant,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.2231435513142097,1,0,0,0.025,0.03125
91,moderate,linear-high,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
92,moderate,linear-high,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
93,moderate,linear-high,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
94,moderate,linear-high,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
95,moderate,linear-high,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
96,moderate,linear-high,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
97,moderate,linear-high,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
98,moderate,linear-high,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
99,moderate,linear-high,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
100,moderate,linear-high,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
101,moderate,linear-high,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
102,moderate,linear-high,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
103,moderate,linear-high,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
104,moderate,linear-high,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
105,moderate,linear-high,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
106,moderate,linear-high,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.021
107,moderate,linear-high,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.01575
108,moderate,linear-high,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.46,0.7956044,0,0,0.021,0.026250000000000002
109,moderate,quadratic-high,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
110,moderate,quadratic-high,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
111,moderate,quadratic-high,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
112,moderate,quadratic-high,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
113,moderate,quadratic-high,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
114,moderate,quadratic-high,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
115,moderate,quadratic-high,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
116,moderate,quadratic-high,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
117,moderate,quadratic-high,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
118,moderate,quadratic-high,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
119,moderate,quadratic-high,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
120,moderate,quadratic-high,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
121,moderate,quadratic-high,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
122,moderate,quadratic-high,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
123,moderate,quadratic-high,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
124,moderate,quadratic-high,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.017
125,moderate,quadratic-high,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.012750000000000001
126,moderate,quadratic-high,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-4.42,1,-0.05168458,-5,0.017,0.02125
127,moderate,non-monotonic,4250,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
128,moderate,non-monotonic,4250,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
129,moderate,non-monotonic,4250,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
130,moderate,non-monotonic,4250,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
131,moderate,non-monotonic,4250,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
132,moderate,non-monotonic,4250,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
133,moderate,non-monotonic,1063,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
134,moderate,non-monotonic,1063,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
135,moderate,non-monotonic,1063,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
136,moderate,non-monotonic,1063,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
137,moderate,non-monotonic,1063,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
138,moderate,non-monotonic,1063,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
139,moderate,non-monotonic,17000,none,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
140,moderate,non-monotonic,17000,none,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
141,moderate,non-monotonic,17000,none,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
142,moderate,non-monotonic,17000,sturmer,absent,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.03
143,moderate,non-monotonic,17000,sturmer,strong-positive,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0225
144,moderate,non-monotonic,17000,sturmer,negative,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.1734843,1.560407,0.105142,0,0.03,0.0375
